dataset,patient,sample,joint_table
TEST,MSeq_Set06,Set6_42,/orfeo/cephfs/scratch/cdslab/shared/nextflow_results/TEST/MSeq_Set06/join_CNAqc/multi_cnaqc.rds
TEST,MSeq_Set06,Set6_44,/orfeo/cephfs/scratch/cdslab/shared/nextflow_results/TEST/MSeq_Set06/join_CNAqc/multi_cnaqc.rds
